"Refs","Value","Footprint","Qty","DNP"
"R13","10kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R14","10kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R15","100kΩ","ProPrj_STM-easyedapro:R0603","1",""
"R16","100kΩ","ProPrj_STM-easyedapro:R0603","1",""
"R17","100kΩ","ProPrj_STM-easyedapro:R0603","1",""
"R18","1mΩ","ProPrj_STM-easyedapro:WIRE-SHUNT","1",""
"R19","1mΩ","ProPrj_STM-easyedapro:WIRE-SHUNT","1",""
"R20","1.5kΩ","ProPrj_STM-easyedapro:R0603","1",""
"R21","13kΩ","ProPrj_STM-easyedapro:R0603","1",""
"R22","1mΩ","ProPrj_STM-easyedapro:WIRE-SHUNT","1",""
"R23","1mΩ","ProPrj_STM-easyedapro:WIRE-SHUNT","1",""
"R24","1mΩ","ProPrj_STM-easyedapro:WIRE-SHUNT","1",""
"R25","1mΩ","ProPrj_STM-easyedapro:WIRE-SHUNT","1",""
"R26","5.1kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R27","10kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R28","5.1kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R29","10kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R30","10kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R31","510Ω","ProPrj_STM-easyedapro:R0603","1",""
"R32","510Ω","ProPrj_STM-easyedapro:R0603","1",""
"R37","10Ω","ProPrj_STM-easyedapro:R0603","1",""
"R38","10Ω","ProPrj_STM-easyedapro:R0603","1",""
"R41","10kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R42","10kΩ","ProPrj_STM-easyedapro:R0402","1",""
"R45","9.1kΩ","ProPrj_STM-easyedapro:R0603","1",""
"R46","5.6kΩ","ProPrj_STM-easyedapro:R0603","1",""
"RESET?","TS-1187A-B-A-B","ProPrj_STM-easyedapro:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","1",""
"SPI1","SPI","ProPrj_STM-easyedapro:JST-XH-06-PACKAGE-LONG-PAD","1",""
